model,accuracy,epochs,training_time,avg_response_time,avg_loss,sequence_length,label,min_loss,max_loss,sampling_rate
conv,97.19135358787976,20,512.2516205310822,0.3598594665527344,0.0794364690538909,256.0,Convolutional model,,,1
conv_svm,99.68280655262286,20,648.172504901886,0.5309557914733887,0.0093449755307545,256.0,Convolutional SVM model,,,1
fft,97.76448933417502,20,473.9059529304504,0.2300357818603515,0.0544360636588599,256.0,FFT model,,,1
lstm,90.81092145477729,20,5128.570559501648,0.2895045280456543,0.1802655180679427,256.0,LSTM model,,,1
conv_lstm,97.61042394544896,20,13641.4936773777,0.5099725723266602,0.049767448524634,256.0,Convolutional LSTM model,,,1
conv,97.73030186078996,20,2057.665272474289,0.2899956703186035,0.0625805247700462,128.0,Convolutional model,,,1
conv_svm,99.7642176447702,20,3600.0,0.5106711387634277,0.0083399274587045,128.0,Convolutional SVM model,,,1
fft,96.94674350036016,20,1709.909192800522,0.5524206161499023,0.0767164244520167,128.0,FFT model,,,1
conv,96.14259910593331,20,2774.980063199997,0.4354524612426758,0.0992349913397597,64.0,Convolutional model,,,1
conv_svm,99.6134356879798,20,2133.701556921005,0.4061627388000488,0.0131912965695968,64.0,Convolutional SVM model,,,1
fft,94.2013790689644,20,1624.506822347641,0.3400588035583496,0.1416471060617102,64.0,FFT model,,,1
conv,92.05656981068395,30,821.7590730190277,0.5734992027282715,0.1961550827225049,32.0,Convolutional model,0.1216938495635986,1.0436450242996216,1
conv_svm,98.30106189491052,20,554.8762013912201,0.4054570198059082,0.0466130912659068,32.0,Convolutional SVM model,,,1
svm,92.98627474265142,20,451.6264786720276,0.0905179977416992,0.236479283188449,32.0,SVM model,,,1
fft,86.00676887691644,20,414.6172137260437,0.3612327575683594,0.3034949118958579,32.0,FFT model,,,1
conv,67.32798114964655,20,605.9396841526031,0.4688811302185058,0.5456546928299798,64.0,Convolutional model,0.4680483639240265,0.6338045001029968,2
conv_svm,77.85958486721626,20,607.5169188976288,1.2706828117370603,0.4115082383738623,64.0,Convolutional SVM model,0.3173241019248962,0.5291107892990112,2
fft,73.89747932773739,20,461.9103488922119,0.4340577125549316,0.4742471477879418,64.0,FFT model,0.3828136324882507,0.5850342512130737,2
conv,84.47361513028369,20,580.9265084266663,0.3839039802551269,0.2882214329097006,128.0,Convolutional model,0.195874273777008,0.4624542593955993,2
conv_svm,92.03625692981744,20,572.9687414169312,0.3439903259277344,0.1649093715250492,128.0,Convolutional SVM model,0.1012625694274902,0.2658116817474365,2
fft,84.36970693200497,20,495.0271098613739,0.3296613693237304,0.3005685507337252,128.0,FFT model,0.1955755203962326,0.4550706446170807,2
conv,86.55912298355594,20,639.2009620666504,0.5209708213806152,0.2608064489867952,256.0,Convolutional model,0.1642301976680755,0.3615610599517822,2
conv_svm,92.53189122296044,20,624.4349451065063,0.4667353630065918,0.1503789529674583,256.0,Convolutional SVM model,0.084658570587635,0.2477314919233322,2
fft,87.32163728069902,20,481.9033238887787,0.4299855232238769,0.2406032142400741,256.0,FFT model,0.1473437249660492,0.3457629382610321,2
conv,72.48667162509297,20,599.5033044815063,0.5471658706665039,0.4906847007089191,256.0,Convolutional model,0.4016395807266235,0.5837824940681458,4
conv_svm,76.987381013394,20,635.8919236660004,0.4427719116210937,0.4148087439987394,256.0,Convolutional SVM model,0.3110968470573425,0.5127540826797485,4
fft,83.21531028706788,20,469.8129315376282,0.1959681510925293,0.3234130319078763,256.0,FFT model,0.2138960063457489,0.4417719841003418,4
conv_svm,98.2953746441373,20,1025.0046458244324,0.4608845710754394,0.0480088830341067,32.0,Convolutional SVM model,0.0139209115877747,0.2609797120094299,4
conv_svm,91.18589242741508,20,93.1216504573822,0.5581784248352051,0.2085613819956779,32.0,Convolutional SVM model,0.1108361780643463,0.4628610610961914,4
conv_svm,93.28140138137952,20,104.34135293960573,0.242626667022705,0.1565518270002471,32.0,Convolutional SVM model,0.1041978597640991,0.4482127428054809,4
conv_svm,92.27427571334812,40,212.9912712574005,0.2670645713806152,0.1998801689611541,32.0,Convolutional SVM model,0.1275834143161773,0.4710184335708618,4
conv_svm,84.1828921461387,40,210.5929110050201,0.3485512733459472,0.2955019905832078,32.0,Convolutional SVM model,0.1944046914577484,0.4629142880439758,4
conv_svm,91.67656342782136,40,216.09235835075376,0.2641034126281738,0.2021539887388547,32.0,Convolutional SVM model,0.1169645339250564,0.4369737505912781,4
conv_svm,98.84129762165202,40,230.59760546684265,0.4069972038269043,0.0377487909657259,32.0,Convolutional SVM model,0.0105147706344723,0.129947692155838,4
conv_svm,98.81316998468608,40,229.2061083316803,0.3288459777832031,0.0302316277161654,32.0,Convolutional SVM model,0.0071931793354451,0.1227845400571823,4
conv_svm,97.76495809296424,20,548.4296867847443,0.307009220123291,0.0619281905836529,32.0,Convolutional SVM model,0.0214048828929662,0.6671512722969055,4
conv_svm,98.63763070557572,20,561.4081988334656,0.3304004669189453,0.0312013827846282,32.0,Convolutional SVM model,0.0062593566253781,0.1690853089094162,4
conv_svm,99.07982649674682,20,600.048280954361,0.4600310325622558,0.025812150745756,32.0,Convolutional SVM model,0.0028488463722169,0.1670137494802475,4
conv_svm,99.1390463571192,20,594.0756604671478,0.2777552604675293,0.027258664450173577,32.0,Convolutional SVM model,0.005543698091059923,0.19295436143875122,4
